grouping_key,clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
Sport,292,Márcio Rodrigues Araújo,marcio-araujo,Márcio Araújo,38311,21,4,7,0,3.71,-0.15,0.4,4,0,2,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0
Sport,292,Carlos Eugenio Júnior Tavares dos Santos,junior-tavares,Júnior Tavares,89343,21,2,6,1.8,4.67,-1.03,3.92,5,0,2,0,0,0,2,0,0,0,8,22,0,0,1,2,0,0,0
Sport,292,Jair Ventura,jair-ventura,Jair Ventura,92180,21,6,7,1.72,6.86,-0.52,3.15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Ewerthon Diógenes Da Silva,ewerthon,Ewerthon,106082,21,2,6,0,2.96,0,4.6,1,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0
Sport,292,Iago Justen Maidana Martins,iago-maidana,Iago Maidana,89226,21,3,7,1.1,6.17,-0.82,2.43,18,0,19,0,4,0,3,0,0,0,12,130,0,0,2,5,3,0,0
Sport,292,Marcos Vinicius Serrato,marcos-serrato,Marcos Serrato,88307,21,4,6,0,2.3,0,-0.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sport,292,Marcos Vinícius Sousa Natividade,marquinhos,Marquinhos,102292,21,5,2,4,6.91,0.38,3.17,18,0,21,0,5,0,0,0,0,0,66,83,0,0,1,7,2,0,0
Sport,292,Dalberto Luan Belo,dalberto,Dalberto,97995,21,5,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Gustavo Silva de Oliveira,gustavo-oliveira,Gustavo Oliveira,110633,21,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Vinícius Santana da Silva,vinicius-popo,Vinícius Popó,105201,21,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
